Activity,Module Title,Session Title,Type,Weeks,Day,Start,End,Staff,Location,Notes
COMP/1005/01/OLE/01/01,Programming and Algorithms,Programming and Algorithms,Online Lecture Engagement,3-13,Monday,10:00,12:00,Twycross JP Dr,,
COMP/1006/01/OLE/01/01,Systems and Architecture,Systems and Architecture,Online Lecture Engagement,3-13,Monday,13:00,14:00,"Bagley, S Dr",,
COMP/1001/01/L/01/01,Mathematics for Computer Scientists 1,Mathematics for Computer Scientists,Lecture,3-13,Tuesday,9:00,10:00,Muller T Dr,JC BS South B52,
COMP/1005/01/L/01/01,Programming and Algorithms,Programming and Algorithms,Lecture,3-13,Tuesday,10:00,11:00,Twycross JP Dr,JC BS South B52,
"COMP/1005/01/C/01/01,COMP/1006/01/C/01/01,COMP/1007/01/C/01/01_JT",,Programming and Algorithms,Computing,3-13,Tuesday,14:00,16:00,Twycross JP Dr,JC Comp Sci A32,
COMP/1007/01/OLE/01/01,Computer Fundamentals,Computer Fundamentals,Online Lecture Engagement,3-13,Wednesday,11:00,12:00,"Bagley, S Dr",,
COMP/1005/01/T/01/07,Programming and Algorithms,Programming and Algorithms,Tutorial,4-12,Thursday,11:00,12:00,,JC Comp Sci C60,
COMP/1001/01/T/01/04,Mathematics for Computer Scientists 1,Mathematics for Computer Scientists,Tutorial,3-13,Thursday,12:00,13:00,,JC Xu Yafen B18,
"COMP/1005/01/C/02/01, COMP/1006/01/C/02/01, COMP/1007/01/C/02/01_JT",,,Computing,3-13,Thursday,13:00,15:00,Twycross JP Dr,JC Comp Sci A32,
"COMP/1005/01/C/03/01, COMP/1006/01/C/03/01, COMP/1007/01/C/03/01_JT",,,Computing,3-13,Thursday,15:00,17:00,Twycross JP Dr,JC Comp Sci A32,
COMP/1002/01/T/01/01,Computer Science First Year Tutorial,Computer Science First Year Tutorial,Tutorial,"3-13, 20-28, 33-35",Friday,10:00,11:00,"Zhou K,Xu K,Wilson M Dr,Webb, H,Walker A,Wagner C Dr,Twycross JP Dr,Turner A Dr,Tennent P Dr,Spoerer K,Sailaja, N,Reeves S Dr,Radenkovic M Dr,Pound M Dr,Parkes A J Dr,Ozcan E Dr,Muller T Dr,Moemeni A Dr,Marshall J Dr,Maior, H,Laramee, R Dr,Landa Silva, D Dr,Kucukylimaz, A Dr,Kraus, N,Koleva, BN Dr,Knight, Ian,Kilic, D,Karapetyan, Daniel Dr,Johnson, Colin Dr,Jackson, W,Hutton, GM Professor,Hopkins, GT Dr,He, Yun Dr,Hameed, N,Greenhalgh, CM Professor,Furnell, Steven,Flintham, MD Dr,Fischer, J Dr,Figueredo, G,De Maere, G Dr,Clos, J,Chen, X Dr,Chen, Chao,Carpent, X,Capretta, V Dr,Caleb-Solly, P,Buchholtz, U,Bagley, S Dr,Altenkirch, T Dr,Ali, S",,
COMP/1001/01/L/02/01,Mathematics for Computer Scientists 1,Mathematics for Computer Scientists 1,Lecture,3-13,Friday,11:00,12:00,Muller T Dr,JC BS South B52,
COMP/1006/01/OLE/02/01,Systems and Architecture,Systems and Architecture,Online Lecture Engagement,3-13,Friday,14:00,15:00,,,
COMP/1007/01/OLE/02/01,Computer Fundamentals,Computer Fundamentals,Online Lecture Engagement,3-13,Friday,15:00,16:00,,,
